98,45:41.763N,14:45.838E,478.0,,Dolenja,
99,45:49.802N,15:17.214E,186.0,,Dolenje,
100,46:18.283N,13:40.966E,694.0,,Dom Dr K,
101,46:17.283N,13:48.233E,676.0,,Dom Savi,
102,47:22.900N,15:3.467E,576.0,,Donawitz,
103,47:13.453N,13:6.519E,822.0,,Dorfgast,
104,46:28.083N,13:56.633E,716.0,,Dovje Ch,
105,46:35.150N,15:1.217E,340.0,,Dravogra,
106,46:35.266N,15:1.466E,328.0,,Dravogra,
107,47:32.517N,14:20.250E,1390.0,,Duerrens,
108,46:51.233N,13:53.616E,1062.0,,Ebene Re,
109,47:36.367N,15:1.683E,2082.0,,Ebenstei,
110,46:36.400N,14:21.666E,430.0,,Ebenthal,
111,46:48.500N,14:33.416E,604.0,,Eberstei,
112,47:32.713N,14:53.896E,806.0,,Eisenerz,
113,46:30.388N,14:34.813E,516.0,,Eisenkap,
114,46:29.183N,14:35.583E,566.0,,Eisenkap,
115,46:30.116N,14:30.616E,1560.0,,Eisenkap,
116,47:12.317N,15:38.717E,450.0,,Elin Wer,
117,47:17.674N,13:1.313E,936.0,,Embach O,
118,46:34.733N,13:33.433E,840.0,,Emmersdo,
119,45:37.633N,12:42.567E,0.0,,Eraclea,
120,47:34.660N,12:28.961E,640.0,,Erpfendo,
121,47:31.467N,14:54.717E,1450.0,,Erzberg,
122,46:34.228N,13:47.962E,506.0,,Federaun,
123,46:41.633N,13:40.966E,516.0,,Fefferni,
124,46:41.544N,13:41.667E,508.0,,Fefferni,
125,46:56.950N,16:0.817E,260.0,,Fehring,
126,46:56.183N,16:0.667E,272.0,,Fehring,
127,47:9.483N,12:29.783E,2464.0,,Felberta,
128,47:7.100N,12:30.267E,1644.0,,Felberta,
129,47:9.633N,12:32.150E,1618.0,,Felberta,
130,46:46.450N,13:44.833E,750.0,,Feld Bre,
131,46:57.517N,15:53.300E,280.0,,Feldbach,
132,46:57.317N,15:53.300E,286.0,,Feldbach,
133,46:31.583N,14:18.100E,462.0,,Ferlach,
134,46:31.950N,14:19.833E,458.0,,Ferlach,
135,47:10.100N,12:48.917E,1154.0,,Ferleite,
136,47:26.033N,13:31.217E,1056.0,,Filzmoos,
137,46:33.700N,13:52.300E,564.0,,Finkenst,
138,46:36.100N,13:36.300E,698.0,,Fischerh,
139,45:49.100N,13:0.100E,8.0,,Fraforea,
140,47:18.050N,13:21.467E,1674.0,,Frauenal,
141,47:12.350N,14:26.300E,874.0,,Frauenbu,
142,46:31.500N,14:27.350E,736.0,,Freibach,
143,47:26.050N,16:3.183E,550.0,,Friedber,
144,47:26.517N,16:3.533E,600.0,,Friedber,
145,46:57.067N,14:24.317E,638.0,,Friesach,
